Name: RAL Design	
Description: RAL design colors	
42  77  70	RAL 180 30 15
27  79  70	RAL 180 30 20
0  81  70	RAL 180 30 25
0  82  70	RAL 180 30 30
0  84  70	RAL 180 30 35
85  97  94	RAL 180 40 05
76  99  94	RAL 180 40 10
65  101  94	RAL 180 40 15
52  103  94	RAL 180 40 20
36  105  93	RAL 180 40 25
3  107  93	RAL 180 40 30
0  109  93	RAL 180 40 35
0  110  93	RAL 180 40 40
0  112  93	RAL 180 40 45
110  122  119	RAL 180 50 05
100  124  119	RAL 180 50 10
89  126  118	RAL 180 50 15
77  129  118	RAL 180 50 20
63  131  118	RAL 180 50 25
45  133  118	RAL 180 50 30
10  135  118	RAL 180 50 35
0  136  118	RAL 180 50 40
0  138  117	RAL 180 50 45
0  140  117	RAL 180 50 50
135  147  144	RAL 180 60 05
125  150  144	RAL 180 60 10
114  152  144	RAL 180 60 15
103  155  144	RAL 180 60 20
90  157  144	RAL 180 60 25
74  159  143	RAL 180 60 30
54  161  143	RAL 180 60 35
19  163  143	RAL 180 60 40
0  165  143	RAL 180 60 45
0  167  143	RAL 180 60 50
161  174  171	RAL 180 70 05
151  177  171	RAL 180 70 10
140  179  170	RAL 180 70 15
129  182  170	RAL 180 70 20
116  184  170	RAL 180 70 25
102  186  170	RAL 180 70 30
85  189  170	RAL 180 70 35
63  191  169	RAL 180 70 40
188  201  198	RAL 180 80 05
178  204  198	RAL 180 80 10
167  207  198	RAL 180 80 15
156  209  197	RAL 180 80 20
143  212  197	RAL 180 80 25
129  214  197	RAL 180 80 30
216  229  226	RAL 180 90 05
206  232  226	RAL 180 90 10
